,event_id,classification_type,classification,period,game_clock,shot_clock,
0,215004822,dribble-hand-off,FALSE,1,11:48,14.44,
1,2150048219,dribble-hand-off,TRUE,1,10:37,8.68,
2,2150048221,dribble-hand-off,FALSE,1,10:09,13.78,
3,2150048223,dribble-hand-off,FALSE,1,9:59,16.71,
4,2150048224,dribble-hand-off,FALSE,1,9:50,8.19,
5,2150048232,dribble-hand-off,TRUE,1,8:47,17.21,
6,2150048235,dribble-hand-off,FALSE,1,8:16,13.21,
7,2150048245,dribble-hand-off,TRUE,1,6:45,18.84,
8,2150048245,dribble-hand-off,TRUE,1,6:43,17.52,
9,2150048245,dribble-hand-off,FALSE,1,6:43,16.92,
10,2150048262,dribble-hand-off,TRUE,1,5:30,7.61,
11,2150048263,dribble-hand-off,FALSE,1,5:07,14.35,
12,2150048263,dribble-hand-off,FALSE,1,5:06,13.59,
13,2150048268,dribble-hand-off,FALSE,1,4:23,16.2,
14,2150048268,dribble-hand-off,FALSE,1,4:23,15.92,
15,2150048270,dribble-hand-off,FALSE,1,3:51,11.53,
16,2150048283,dribble-hand-off,FALSE,1,2:39,16.32,
17,2150048295,dribble-hand-off,TRUE,1,1:02,14.13,
18,2150048296,dribble-hand-off,FALSE,1,0:45,16.15,
19,2150048296,dribble-hand-off,FALSE,1,0:43,13.31,
20,2150048296,dribble-hand-off,FALSE,1,0:39,10.11,
21,21500482108,dribble-hand-off,FALSE,1,0:04,0,
22,21500482115,dribble-hand-off,FALSE,2,11:25,12.3,
23,21500482117,dribble-hand-off,TRUE,2,11:08,14.12,
24,21500482119,dribble-hand-off,FALSE,2,10:45,9.01,
25,21500482119,dribble-hand-off,FALSE,2,10:45,8.61,
26,21500482121,dribble-hand-off,FALSE,2,10:21,24,
27,21500482122,dribble-hand-off,TRUE,2,10:06,17.2,
28,21500482124,dribble-hand-off,TRUE,2,9:50,14.42,borderline
29,21500482124,dribble-hand-off,FALSE,2,9:47,11.78,
30,21500482127,dribble-hand-off,FALSE,2,9:35,24,
31,21500482132,dribble-hand-off,TRUE,2,9:14,12.24,
